	asw_batch_norm	asw_batch_norm_sub	asw_celltype_norm	fscore	method_use
0	0.5046914415434003	0.4953085584565997	0.6065216064453125	0.5453024470208666	Seurat3
1	0.5042664143256843	0.4957335856743157	0.6066914722323418	0.5456286334762058	Seurat3
2	0.5046863937750459	0.49531360622495413	0.6066297441720963	0.5453492071456065	Seurat3
3	0.5053210337646306	0.49467896623536944	0.6075993105769157	0.5453552068734047	Seurat3
4	0.5048760534264147	0.49512394657358527	0.6086047515273094	0.5460305363050221	Seurat3
5	0.504249943420291	0.49575005657970905	0.6077699139714241	0.546074338986903	Seurat3
6	0.5052698510698974	0.4947301489301026	0.6066904962062836	0.5450198902081519	Seurat3
7	0.5047806166112423	0.4952193833887577	0.6076286882162094	0.5456952993894062	Seurat3
8	0.5049175843596458	0.49508241564035416	0.6084021255373955	0.545923722085493	Seurat3
9	0.5050578224472702	0.49494217755272985	0.6043852493166924	0.5442159343361574	Seurat3
10	0.5046775629743934	0.49532243702560663	0.6041920483112335	0.5443673217444349	Seurat3
11	0.5039705517701805	0.49602944822981954	0.608864925801754	0.5466856204361552	Seurat3
12	0.5046759219840169	0.4953240780159831	0.6056047976016998	0.5449409942051301	Seurat3
13	0.5049469894729555	0.49505301052704453	0.6073802262544632	0.54549409344679	Seurat3
14	0.5048451330512762	0.4951548669487238	0.6070217937231064	0.5454112870122446	Seurat3
15	0.5047348230145872	0.49526517698541284	0.6091441363096237	0.5463334559881932	Seurat3
16	0.5043947137892246	0.4956052862107754	0.6059261560440063	0.5452412785859015	Seurat3
17	0.5044950009323657	0.49550499906763434	0.6087592914700508	0.5463244166039382	Seurat3
18	0.5048681977204978	0.49513180227950215	0.607070192694664	0.5454168292012913	Seurat3
19	0.5046576447784901	0.49534235522150993	0.6082124337553978	0.5460052956513599	Seurat3
