use_case	iteration	ari_batch	ari_celltype
Seurat3	1	0.0104834958872429	0.619097056472707
Seurat3	2	0.0174832794895313	0.490154124643551
Seurat3	3	0.00586659654228059	0.516071375725771
Seurat3	4	0.00513816881718389	0.429762500823646
Seurat3	5	0.0119132552770352	0.597800130077114
Seurat3	6	0.0157821586225761	0.600114118615966
Seurat3	7	0.00827525157997502	0.438426246990102
Seurat3	8	0.0183412348470731	0.641821091553356
Seurat3	9	0.0152297216840469	0.555489085872678
Seurat3	10	0.00693193412382404	0.463076529086656
Seurat3	11	0.010872994161036	0.540052993944847
Seurat3	12	0.0191481452197947	0.622537257632139
Seurat3	13	0.00790608507511317	0.542201825131345
Seurat3	14	0.0165136552155267	0.678041122621123
Seurat3	15	0.0118965326678928	0.574979481621121
Seurat3	16	0.00780824413760997	0.464656135141546
Seurat3	17	0.0138233440835241	0.600987879756654
Seurat3	18	0.0107215775185481	0.51353492825067
Seurat3	19	0.00445000379945796	0.527629690708483
Seurat3	20	0.00752331027052964	0.55096223381627
Seurat3_median	21	0.0107972858397921	0.546582029473808
